Ia,Ib,Ic,Voltage,Torque,Speed,Condition
0,6.32E-02,3.62E-01,-11564.24239,0,157.0796327,BF
0.264013068,-0.056233197,-0.207779872,-11564.1901,0.793587944,157.0796295,BF
1.584026551,-0.337357337,-1.246669214,-11563.42221,4.76050055,157.0796139,BF
5.47015623,-1.164796641,-4.305359589,-11556.31027,16.43069566,157.0795677,BF
12.05813979,-2.567440782,-9.490699007,-11527.95057,36.18596757,157.0794893,BF
18.62440166,-3.966481148,-14.65792051,-11479.69019,55.84029978,157.0794108,BF
26.75628189,-5.702484903,-21.05379699,-11392.84701,80.13162256,157.0793132,BF
34.81757212,-7.429338779,-27.38823334,-11277.64144,104.158711,157.0792155,BF
44.65679492,-9.54863874,-35.10815618,-11098.18162,133.413886,157.0790948,BF
54.32502944,-11.64763559,-42.67739385,-10880.28621,162.0857373,157.078974,BF
63.79061292,-13.72300386,-50.06760906,-10626.71094,190.086237,157.0788533,BF
75.45613944,-16.31567922,-59.14046021,-10258.26454,224.5015245,157.0787001,BF
86.69481818,-18.85884826,-67.83596992,-9842.544643,257.5643329,157.078547,BF
89.81131279,-19.57333103,-70.23798176,-9716.194277,266.7171166,157.0785034,BF
89.81131279,-19.57333103,-70.23798176,-9716.194277,266.7171166,157.0785034,BF
100.4317085,-22.04407837,-78.38763017,-9247.974171,297.8598465,157.0783503,BF
113.0822293,-25.07305194,-88.00917738,-8608.267314,334.8650713,157.0781569,BF
124.8243304,-27.9904596,-96.83387077,-7924.33231,369.1357568,157.0779636,BF
135.6049249,-30.78545133,-104.8194736,-7206.663851,400.5474716,157.0777702,BF
147.7403052,-34.11095646,-113.6293488,-6271.778289,435.8676849,157.077527,BF
158.2469278,-37.20708698,-121.0398408,-5318.14207,466.4423902,157.0772838,BF
168.9085594,-40.67193816,-128.2366212,-4146.027838,497.5131541,157.0769849,BF
177.1142309,-43.73411747,-133.3801135,-3000.343033,521.5269178,157.0766859,BF
184.8016316,-47.38506569,-137.4165659,-1447.983125,544.2807896,157.0762557,BF
187.2331859,-49.1416421,-138.0915438,-585.3779655,551.6901788,157.0759956,BF
187.2331859,-49.1416421,-138.0915438,-585.3779655,551.6901788,157.0759956,BF
188.0378028,-50.203057,-137.8347458,-1.18E-10,554.3121409,157.0758059,BF
188.0378028,-50.203057,-137.8347458,7.82E-13,554.3121409,157.0758059,BF
187.8533207,-51.43094799,-136.4223727,791.4336563,554.2278622,157.0755249,BF
187.0486258,-51.95804231,-135.0905835,1209.082074,552.1601492,157.0753611,BF
187.0486258,-51.95804231,-135.0905835,1209.082074,552.1601492,157.0753611,BF
183.6638395,-52.63819066,-131.0256488,2015.553248,542.9077586,157.0749965,BF
178.4219489,-52.66142637,-125.7605225,2649.771272,528.1853841,157.074632,BF
171.7662402,-52.06919286,-119.6970474,3112.953639,509.2341023,157.0742675,BF
164.1289223,-50.91845718,-113.2104651,3412.2369,487.2824655,157.073903,BF
155.9173027,-49.27986287,-106.6374399,3559.603162,463.5073893,157.0735385,BF
145.2667774,-46.63294151,-98.6338359,3553.577297,432.4664387,157.0730763,BF
134.9355154,-43.51887687,-91.41663852,3366.838296,402.1792747,157.0726142,BF
123.3189525,-39.29352376,-84.02542874,2946.248557,367.9592536,157.0720396,BF
113.6962811,-35.01261936,-78.68366175,2390.490144,339.5119515,157.071465,BF
