Ia,Ib,Ic,Voltage,Torque,Speed,Condition
0,6.10E-14,-6.10E-14,-11564.24239,0,157.0796327,HG
0.264013068,-0.056233197,-0.207779872,-11564.1901,0.793587944,157.0796316,HG
1.584026553,-0.337357337,-1.246669215,-11563.42221,4.760500555,157.0796264,HG
5.470156242,-1.16479665,-4.305359593,-11556.31027,16.4306957,157.079611,HG
5.470156242,-1.16479665,-4.305359593,-11556.31027,16.4306957,157.079611,HG
12.05813988,-2.56744083,-9.490699049,-11527.95057,36.18596784,157.0795849,HG
18.62440189,-3.966481265,-14.65792062,-11479.69019,55.84030046,157.0795587,HG
26.75628356,-5.702485404,-21.05379815,-11392.847,80.13162756,157.0795262,HG
34.8175753,-7.429339709,-27.38823559,-11277.6414,104.1587205,157.0794936,HG
44.65679954,-9.548640155,-35.10815939,-11098.18155,133.4138998,157.0794534,HG
54.32503559,-11.64763755,-42.67739804,-10880.2861,162.0857557,157.0794131,HG
63.79062068,-13.72300645,-50.06761423,-10626.71077,190.0862603,157.0793729,HG
75.45614887,-16.3156826,-59.14046627,-10258.26431,224.5015529,157.0793218,HG
86.6948294,-18.85885253,-67.83597687,-9842.544339,257.5643668,157.0792708,HG
89.81131861,-19.57333421,-70.23798441,-9716.194195,266.7171348,157.0792562,HG
89.81131861,-19.57333421,-70.23798441,-9716.194195,266.7171348,157.0792562,HG
89.81131861,-19.57333421,-70.23798441,-9716.194195,266.7171348,157.0792562,HG
100.4317166,-22.0440826,-78.38763395,-9247.974026,297.8598716,157.0792052,HG
113.0822395,-25.07305747,-88.009182,-8608.267116,334.8651033,157.0791407,HG
124.8243429,-27.99046658,-96.83387633,-7924.332047,369.1357967,157.0790763,HG
135.6049401,-30.78545993,-104.8194802,-7206.663509,400.5475202,157.0790118,HG
147.7403236,-34.11096716,-113.6293564,-6271.777866,435.8677445,157.0789307,HG
158.2469498,-37.2071,-121.0398498,-5318.141543,466.4424622,157.0788497,HG
168.9085859,-40.67195409,-128.2366318,-4146.027219,497.5132417,157.07875,HG
177.1142627,-43.73413657,-133.3801261,-3000.342275,521.5270238,157.0786503,HG
184.801671,-47.38508895,-137.416582,-1447.982428,544.2809221,157.0785069,HG
187.2332315,-49.14166819,-138.0915633,-585.3772275,551.6903319,157.0784202,HG
187.2332315,-49.14166819,-138.0915633,-585.3772275,551.6903319,157.0784202,HG
188.037853,-50.20308389,-137.8347691,-1.18E-10,554.3123087,157.0783569,HG
188.037853,-50.20308389,-137.8347691,7.03E-13,554.3123087,157.0783569,HG
188.0817201,-51.07740959,-137.0043105,544.8677292,554.7425047,157.0782936,HG
187.0500152,-51.95817765,-135.0918376,1209.104676,552.1641369,157.0782086,HG
187.0500152,-51.95817765,-135.0918376,1209.104676,552.1641369,157.0782086,HG
184.2783419,-52.58092991,-131.697412,1909.155296,544.6121731,157.0781047,HG
178.8197503,-52.67964056,-126.1401097,2612.975848,529.3107825,157.0779736,HG
171.681744,-52.05894018,-119.6228038,3117.655769,508.9923933,157.0778425,HG
163.4067065,-50.78973235,-112.6169742,3431.913719,485.1980366,157.0777114,HG
154.5033085,-48.9613532,-105.5419553,3571.008948,459.3986646,157.0775803,HG
145.4306279,-46.67790461,-98.75272328,3555.143427,432.9455104,157.0774492,HG
133.6274476,-43.08465846,-90.54278914,3331.359544,398.3341165,157.0772724,HG
123.0020548,-39.16557721,-83.83647757,2931.345478,367.0237262,157.0770955,HG
114.0964081,-35.20878354,-78.88762454,2418.216848,340.6961545,157.0769187,HG
107.2230647,-31.47657537,-75.74648931,1851.062807,320.3428021,157.0767418,HG
102.4870483,-28.18763786,-74.29941046,1281.449469,306.3184824,157.076565,HG
99.81844552,-25.5041438,-74.31430172,751.1455862,298.4374303,157.0763881,HG
99.27771185,-24.58985116,-74.68786069,549.1720078,296.8526626,157.0763144,HG
99.27771185,-24.58985116,-74.68786069,549.1720078,296.8526626,157.0763144,HG
99.32764084,-22.65360393,-76.6740369,45.48977041,297.0724035,157.0760993,HG
99.46761617,-22.51279762,-76.95481854,6.82E-13,297.496184,157.0760764,HG
99.46761617,-22.51279762,-76.95481854,-5.13E-11,297.496184,157.0760764,HG
101.6674119,-21.7563787,-79.9110332,-345.184664,304.1098543,157.0758613,HG
103.1858401,-21.73958698,-81.44625309,-456.0785664,308.6586984,157.07576,HG
103.1858401,-21.73958698,-81.44625309,-456.0785664,308.6586984,157.07576,HG
107.9378367,-22.5134945,-85.42434221,-601.4502716,322.8814175,157.0754939,HG
112.999423,-24.11637298,-88.88305003,-567.3453718,338.039168,157.0752278,HG
117.5070376,-26.04617743,-91.46086015,-408.024817,351.5755005,157.0749617,HG
120.9172212,-27.84876069,-93.06846052,-182.1830678,361.877309,157.0746956,HG
121.712941,-28.33167401,-93.38126695,-106.0295283,364.2990834,157.0746126,HG
121.712941,-28.33167401,-93.38126695,-106.0295283,364.2990834,157.0746126,HG
122.6067253,-28.91534382,-93.69138145,-6.93E-13,367.038529,157.0744957,HG
122.6067253,-28.91534382,-93.69138145,4.66E-11,367.038529,157.0744957,HG
123.2415793,-29.3764995,-93.8650798,102.1769747,369.0114471,157.0743788,HG
123.3232722,-29.44222038,-93.88105187,119.1599728,369.2692534,157.0743588,HG
123.3232722,-29.44222038,-93.88105187,119.1599728,369.2692534,157.0743588,HG
123.7086091,-29.78692614,-93.92168299,228.2567563,370.5188001,157.074222,HG
123.5802264,-29.91325251,-93.66697386,417.8209762,370.3745822,157.0739221,HG
122.4847523,-29.29095038,-93.19380187,529.1193507,367.3685223,157.0736221,HG
120.5311803,-27.85554985,-92.67563045,563.7197194,361.8932253,157.07325,HG
118.6413825,-26.18439452,-92.45698797,514.411837,356.6306079,157.0728778,HG
117.3119271,-24.71995332,-92.59197375,424.7044503,353.0460144,157.0725056,HG
116.7069355,-23.6966295,-93.01030598,333.9642522,351.6120155,157.0721334,HG
116.7294193,-23.13038677,-93.59903254,267.9099775,352.0301866,157.0717612,HG
117.4217811,-22.79673291,-94.62504823,231.7644065,354.6152095,157.0711796,HG
118.1607609,-22.55507958,-95.60568129,256.2837819,357.3414045,157.070598,HG
118.3713723,-22.32842719,-96.04294513,277.6663213,358.2396567,157.0703126,HG
