Ia,Ib,Ic,Voltage,Torque,Speed,Condition
0,3.05E-14,-3.05E-14,-11564.24239,0,157.0796327,RF
0.275353799,-0.059276883,-0.216076916,-11564.19153,0.413825237,157.0796317,RF
1.652062208,-0.355619717,-1.296442491,-11563.43041,2.482013292,157.0796267,RF
5.705121506,-1.227885938,-4.477235568,-11556.33269,8.562611823,157.0796119,RF
5.705121506,-1.227885938,-4.477235568,-11556.33269,8.562611823,157.0796119,RF
12.57559168,-2.706463193,-9.869128483,-11527.96804,18.84213497,157.0795868,RF
19.422824,-4.181090211,-15.24173379,-11479.64622,29.05208465,157.0795617,RF
27.88201008,-6.006230028,-21.87578005,-11392.84966,41.61789753,157.0795306,RF
36.26638693,-7.821051471,-28.44533546,-11277.66259,54.02090321,157.0794994,RF
46.49191809,-10.04573362,-36.44618447,-11098.23588,69.07863904,157.0794609,RF
56.53662077,-12.24721579,-44.28940498,-10880.2425,83.79744704,157.0794224,RF
66.36698717,-14.42160116,-51.94538601,-10626.37711,98.13379515,157.0793839,RF
78.46293202,-17.13117533,-61.33175669,-10257.62293,115.6837488,157.0793351,RF
90.10802902,-19.78395731,-70.32407171,-9841.221897,132.4884962,157.0792863,RF
97.1629409,-21.41664659,-75.74629431,-9558.023822,142.6275318,157.0792557,RF
97.1629409,-21.41664659,-75.74629431,-9558.023822,142.6275318,157.0792557,RF
97.1629409,-21.41664659,-75.74629431,-9558.023822,142.6275318,157.0792557,RF
107.9677909,-23.96236118,-84.00542967,-9075.912043,158.097887,157.079207,RF
121.0403547,-27.13193546,-93.9084192,-8406.757127,176.7281211,157.0791441,RF
133.0927998,-30.16540432,-102.9273955,-7693.908524,193.8299547,157.0790813,RF
144.0693827,-33.05052054,-111.0188622,-6948.409985,209.3545899,157.0790184,RF
156.3288646,-36.46277209,-119.8660925,-5977.35101,226.6564048,157.0789391,RF
166.7667623,-39.59961479,-127.1671475,-4991.042216,241.3829814,157.0788597,RF
177.1912096,-43.08693076,-134.1042788,-3771.680339,256.1348796,157.0787611,RF
184.8380788,-46.09055198,-138.7475268,-2588.47038,267.0548263,157.0786625,RF
