Ia,Ib,Ic,Voltage,Torque,Speed,Condition
0,3.05E-14,-3.05E-14,-11564.24239,0,157.0796327,SF
0.272819147,-0.057396125,-0.215423021,-11564.19128,0.40181308,157.0796317,SF
1.636860633,-0.3443347,-1.292525933,-11563.42954,2.409899735,157.0796266,SF
5.652638744,-1.188905276,-4.463733468,-11556.33664,8.31307254,157.0796117,SF
5.652638744,-1.188905276,-4.463733468,-11556.33664,8.31307254,157.0796117,SF
12.46019197,-2.620602345,-9.839589629,-11528.00375,18.29053421,157.0795864,SF
19.24498601,-4.048667674,-15.19631833,-11479.74615,28.19769152,157.0795612,SF
27.63184226,-5.817607195,-21.81423507,-11393.02558,40.39346913,157.0795297,SF
35.94495605,-7.577343757,-28.36761229,-11277.94445,52.42710205,157.0794983,SF
46.08241699,-9.735613731,-36.34680326,-11098.7344,67.02842214,157.0794595,SF
56.04138716,-11.87345691,-44.16793025,-10881.03572,81.29558825,157.0794207,SF
65.78871113,-13.98750135,-51.80120977,-10627.54982,95.18709014,157.0793818,SF
77.78434458,-16.6262313,-61.15811328,-10259.3895,112.1871206,157.0793326,SF
89.33458035,-19.21505891,-70.11952144,-9843.728943,128.4598735,157.0792835,SF
95.60488432,-20.64425951,-74.96062481,-9591.5912,137.256094,157.0792558,SF
95.60488432,-20.64425951,-74.96062481,-9591.5912,137.256094,157.0792558,SF
106.3609503,-23.14279821,-83.21815208,-9112.841194,152.2864632,157.0792067,SF
119.3364676,-26.25282172,-93.08364591,-8450.340263,170.3270443,157.0791435,SF
131.3152808,-29.24287459,-102.0724062,-7744.092131,186.9044414,157.0790804,SF
142.2420859,-32.10115198,-110.140934,-7005.016652,201.9743551,157.0790172,SF
154.4674426,-35.50172825,-118.9657143,-6042.088837,218.7991546,157.0789376,SF
164.9102965,-38.6530887,-126.2572078,-5063.226004,233.170695,157.0788579,SF
175.3768427,-42.18703592,-133.1898068,-3853.944314,247.6290163,157.0787591,SF
183.1285997,-45.27344572,-137.855154,-2678.890829,258.4507305,157.0786602,SF
189.9877587,-49.04355135,-140.9442074,-1019.055755,268.3381172,157.07851,SF
190.8411068,-49.82286625,-141.0182406,-626.0515359,269.6651607,157.0784717,SF
190.8411068,-49.82286625,-141.0182406,-626.0515359,269.6651607,157.0784717,SF
191.519148,-50.95896993,-140.5601781,-1.82E-12,270.8808125,157.0784072,SF
191.519148,-50.95896993,-140.5601781,1.23E-10,270.8808125,157.0784072,SF
191.096024,-52.09130791,-139.0047161,731.7338431,270.6923198,157.078325,SF
189.6828127,-52.78073468,-136.902078,1296.82443,269.0990002,157.0782542,SF
189.6828127,-52.78073468,-136.902078,1296.82443,269.0990002,157.0782542,SF
185.7249552,-53.33984571,-132.3851095,2061.556563,264.1920842,157.0781425,SF
180.0092285,-53.27032994,-126.7388986,2665.620971,256.7982761,157.0780307,SF
172.9481354,-52.60910706,-120.3390283,3109.731011,247.4411673,157.0779189,SF
164.9454523,-51.40730716,-113.5381451,3399.758565,236.6493272,157.0778071,SF
154.524594,-49.31715937,-105.2074346,3560.04198,222.3787472,157.0776715,SF
143.8988494,-46.66067505,-97.23817435,3533.437291,207.6253257,157.0775358,SF
131.0861013,-42.75891559,-88.32718568,3282.283379,189.6102211,157.0773654,SF
119.6237438,-38.51887676,-81.10486704,2848.39856,173.3133985,157.077195,SF
110.0973409,-34.2534141,-75.84392677,2297.753857,159.6508396,157.0770246,SF
102.8413482,-30.24885691,-72.59249131,1692.502897,149.1694984,157.0768542,SF
97.9617849,-26.74480058,-71.21698432,1087.156254,142.0682718,157.0766838,SF
95.5315787,-24.16640943,-71.36516927,578.9033809,138.4877854,157.0765303,SF
95.5315787,-24.16640943,-71.36516927,578.9033809,138.4877854,157.0765303,SF
94.80177789,-22.04575966,-72.75601824,85.97763669,137.3430414,157.0763599,SF
94.88374248,-21.72692008,-73.1568224,6.63E-11,137.442382,157.0763265,SF
94.88374248,-21.72692008,-73.1568224,-6.47E-13,137.442382,157.0763265,SF
96.70978061,-20.43139429,-76.27838632,-450.6913048,139.9589091,157.0761147,SF
97.89896893,-20.26138136,-77.63758757,-575.4020205,141.6314985,157.0760361,SF
97.89896893,-20.26138136,-77.63758757,-575.4020205,141.6314985,157.0760361,SF
101.9742244,-20.53002499,-81.44419944,-797.2117675,147.4064624,157.0758243,SF
107.8352285,-21.99260151,-85.84262697,-862.9666938,155.7746945,157.0755651,SF
113.5509842,-24.17108725,-89.37989693,-750.9634875,164.0000047,157.0753059,SF
118.2531929,-26.48355549,-91.76963745,-526.4008296,170.8358944,157.0750468,SF
121.4649548,-28.44086788,-93.02408696,-254.9233382,175.5785864,157.0747876,SF
122.4286783,-29.15239002,-93.27628828,-124.5641348,177.0335663,157.0746634,SF
122.4286783,-29.15239002,-93.27628828,-124.5641348,177.0335663,157.0746634,SF
123.0354393,-29.68789349,-93.34754581,-4.96E-11,177.9777012,157.0745376,SF
123.0354393,-29.68789349,-93.34754581,5.81E-13,177.9777012,157.0745376,SF
123.2921998,-30.01607941,-93.27612035,108.3459569,178.4142568,157.0744173,SF
123.2921998,-30.01607941,-93.27612035,108.3459569,178.4142568,157.0744173,SF
122.9475788,-30.12550498,-92.82207384,294.3068697,178.0515895,157.0741581,SF
121.2897687,-29.2732841,-92.01648456,425.1580673,175.804905,157.0738297,SF
119.0544195,-27.72109531,-91.33332424,446.4978,172.699724,157.0735014,SF
116.9632259,-25.97123573,-90.99199018,388.4264742,169.7899964,157.073173,SF
115.4711472,-24.43914422,-91.03200299,290.5976681,167.7430587,157.0728446,SF
114.7415603,-23.36006372,-91.38149662,189.56234,166.7995651,157.0725162,SF
114.6998406,-22.77358392,-91.92625669,110.9090641,166.8525464,157.0721879,SF
115.4185596,-22.53861076,-92.87994883,56.96794634,168.065661,157.0716941,SF
116.3575279,-22.54936222,-93.80816567,69.95537357,169.6020572,157.0712003,SF
116.9432936,-22.32673451,-94.61655908,114.8322462,170.6356526,157.0707065,SF
117.017069,-21.71987947,-95.29718958,156.3179475,170.9406091,157.0702126,SF
116.537385,-20.35920612,-96.17817886,177.8302994,170.5795522,157.0694464,SF
116.0409825,-19.05387673,-96.98710579,160.7935417,170.2143796,157.0686801,SF
115.8782207,-18.01647449,-97.86174625,142.3860083,170.3398355,157.0679138,SF
115.8690977,-16.51894326,-99.35015447,142.8188223,170.9022094,157.0667417,SF
115.6597595,-14.84629299,-100.8134665,152.4857383,171.2201808,157.0655696,SF
115.1690024,-12.35686338,-102.812139,150.4975288,171.4955569,157.0638426,SF
114.5840143,-9.120383651,-105.4636306,149.5667685,172.0676263,157.0615657,SF
114.365408,-8.045289433,-106.3201185,150.7634946,172.2457745,157.0608229,SF
114.365408,-8.045289433,-106.3201185,150.7634946,172.2457745,157.0608229,SF
114.3362645,-7.912197586,-106.4240669,150.829393,172.2656773,157.0607312,SF
